URI,ASN,IP Prefix,Max Length,Not Before,Not After
"rsync://rpki.apnic.net/member_repository/A913621A/282242F01D6D11E2B4C0E6AD08B02CD2/613DCDC2B0F711E5971FF85BC4F9AE02.roa",AS38901,110.74.192.0/19,19,2016-02-18 02:30:09,2017-05-01 00:00:00
"rsync://rpki.apnic.net/member_repository/A913621A/282242F01D6D11E2B4C0E6AD08B02CD2/613DCDC2B0F711E5971FF85BC4F9AE02.roa",AS38901,119.82.248.0/21,21,2016-02-18 02:30:09,2017-05-01 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/98B5560E273911E68723C667C4F9AE02.roa",AS55430,58.182.0.0/16,24,2016-05-31 14:11:41,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/98B5560E273911E68723C667C4F9AE02.roa",AS55430,116.86.0.0/16,24,2016-05-31 14:11:41,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/98B5560E273911E68723C667C4F9AE02.roa",AS55430,116.87.0.0/16,24,2016-05-31 14:11:41,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/98B5560E273911E68723C667C4F9AE02.roa",AS55430,116.88.48.0/20,24,2016-05-31 14:11:41,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/98B5560E273911E68723C667C4F9AE02.roa",AS55430,116.88.64.0/18,24,2016-05-31 14:11:41,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/98B5560E273911E68723C667C4F9AE02.roa",AS55430,222.164.0.0/19,24,2016-05-31 14:11:41,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/98B5560E273911E68723C667C4F9AE02.roa",AS55430,222.164.32.0/20,24,2016-05-31 14:11:41,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,58.146.128.0/18,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,58.182.0.0/16,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,59.189.0.0/16,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,103.234.104.0/22,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,116.86.0.0/15,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,116.88.0.0/16,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,116.89.0.0/17,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,150.107.128.0/22,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,202.156.0.0/16,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,218.186.0.0/16,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,218.212.0.0/16,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,222.164.0.0/16,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,222.165.0.0/17,24,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A915EE53/38511840458811E59B2D8371C4F9AE02/CC8FD9F0B0AA11E580DBF725C4F9AE02.roa",AS10091,2404:e800::/31,64,2016-01-05 11:51:53,2016-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A91D3102/D4AEE2C8768E11E399A957455911EA32/611D8094B13D11E59299870AC4F9AE02.roa",AS133075,103.242.68.0/22,22,2016-01-05 17:52:33,2016-12-30 00:00:00
"rsync://rpki.apnic.net/member_repository/A91D3102/D4AEE2C8768E11E399A957455911EA32/611D8094B13D11E59299870AC4F9AE02.roa",AS133075,2407:f100::/32,32,2016-01-05 17:52:33,2016-12-30 00:00:00
"rsync://rpki.apnic.net/member_repository/A91C9484/6FF0DDE01D9411E29DECB5F808B02CD2/49036D2CB0D711E58B185E0FC4F9AE02.roa",AS38478,103.15.120.0/22,22,2016-03-01 09:30:39,2017-05-28 00:00:00
"rsync://rpki.apnic.net/member_repository/A9196BD8/C583D23287A211E59E51F251C4F9AE02/D7FCE982B0F411E5BE86D757C4F9AE02.roa",AS58629,103.12.72.0/22,24,2016-01-05 12:03:45,2016-09-30 00:00:00
"rsync://rpki.apnic.net/member_repository/A912359E/6F2B6552547C11E5971F3B48C4F9AE02/B6A9D8EEB0F411E5BE86D757C4F9AE02.roa",AS132267,103.9.136.0/24,24,2016-06-29 04:31:31,2017-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A912359E/6F2B6552547C11E5971F3B48C4F9AE02/B6A9D8EEB0F411E5BE86D757C4F9AE02.roa",AS132267,103.9.137.0/24,24,2016-06-29 04:31:31,2017-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A912359E/6F2B6552547C11E5971F3B48C4F9AE02/B6A9D8EEB0F411E5BE86D757C4F9AE02.roa",AS132267,103.9.138.0/24,24,2016-06-29 04:31:31,2017-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A912359E/6F2B6552547C11E5971F3B48C4F9AE02/B6A9D8EEB0F411E5BE86D757C4F9AE02.roa",AS132267,103.9.139.0/24,24,2016-06-29 04:31:31,2017-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A912359E/6F2B6552547C11E5971F3B48C4F9AE02/B6A9D8EEB0F411E5BE86D757C4F9AE02.roa",AS132267,163.53.140.0/24,24,2016-06-29 04:31:31,2017-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A912359E/6F2B6552547C11E5971F3B48C4F9AE02/B6A9D8EEB0F411E5BE86D757C4F9AE02.roa",AS132267,2403:eb00::/32,32,2016-06-29 04:31:31,2017-08-31 00:00:00
"rsync://rpki.apnic.net/member_repository/A9189F23/A5D598D61D9B11E29305918908B02CD2/CEFE436C345711E6AEF0AC6AC4F9AE02.roa",AS45561,103.11.72.0/23,24,2016-06-17 07:00:31,2017-03-02 00:00:00
"rsync://rpki.apnic.net/member_repository/A9189F23/A5D598D61D9B11E29305918908B02CD2/CEFE436C345711E6AEF0AC6AC4F9AE02.roa",AS45561,103.11.72.0/24,24,2016-06-17 07:00:31,2017-03-02 00:00:00
