URI,ASN,IP Prefix,Max Length,Not Before,Not After
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/01430e13-506f-444b-8727-f36154b32c07/0f7860e3-830c-379d-88df-b9cca1423a28.roa",AS46648,199.79.205.0/24,24,2014-09-16 04:00:00,2024-09-16 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/01430e13-506f-444b-8727-f36154b32c07/97c3feef-d62c-391d-847e-2ed5d9853c98.roa",AS46441,198.217.68.0/22,24,2014-09-16 04:00:00,2024-09-16 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/01430e13-506f-444b-8727-f36154b32c07/a02deb51-247a-323b-a8cf-05dc9609f861.roa",AS46256,198.217.64.0/24,24,2014-09-16 04:00:00,2024-09-16 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/01430e13-506f-444b-8727-f36154b32c07/b9e22ba1-b4d8-3377-a7fd-7c7c77060c7f.roa",AS46648,198.217.72.0/21,21,2014-09-16 04:00:00,2024-09-16 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/0e05dc46-d4e0-4117-940d-806cd59e080f/0f3b06c1-862d-3bff-83ed-a69362466c6e.roa",AS6128,24.188.0.0/14,25,2013-10-25 04:00:00,2023-10-25 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/0e05dc46-d4e0-4117-940d-806cd59e080f/0f3b06c1-862d-3bff-83ed-a69362466c6e.roa",AS6128,24.184.0.0/14,25,2013-10-25 04:00:00,2023-10-25 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/0e05dc46-d4e0-4117-940d-806cd59e080f/67777cbc-07d7-348d-a827-2d65e55980cf.roa",AS6128,47.20.0.0/14,25,2013-10-25 04:00:00,2023-10-25 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/0e05dc46-d4e0-4117-940d-806cd59e080f/7b898a71-e5d0-310f-ae6a-f93cbe3d4608.roa",AS6128,24.38.192.0/18,25,2013-10-25 04:00:00,2023-10-25 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/0e05dc46-d4e0-4117-940d-806cd59e080f/7b898a71-e5d0-310f-ae6a-f93cbe3d4608.roa",AS6128,24.44.0.0/14,25,2013-10-25 04:00:00,2023-10-25 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/0e05dc46-d4e0-4117-940d-806cd59e080f/7b898a71-e5d0-310f-ae6a-f93cbe3d4608.roa",AS6128,67.80.0.0/13,25,2013-10-25 04:00:00,2023-10-25 04:00:00
"rsync://rpki.arin.net/repository/arin-rpki-ta/5e4a23ea-e80a-403e-b08c-2171da2157d3/2a246947-2d62-4a6c-ba05-87187f0099b2/0e05dc46-d4e0-4117-940d-806cd59e080f/7b898a71-e5d0-310f-ae6a-f93cbe3d4608.roa",AS6128,68.192.0.0/13,25,2013-10-25 04:00:00,2023-10-25 04:00:00
