URI,ASN,IP Prefix,Max Length,Not Before,Not After
"rsync://repository.lacnic.net/rpki/lacnic/c7292a5e-f3b0-474f-8732-ed11a3b0aee7/c238b658e5853df96a222a6b1040d12504cb8c17.roa",AS5692,2800:340::/32,48,2014-08-26 03:00:00,2016-08-26 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/81fc236e-d967-4ccd-b9c5-ed757b14f4d6/53ac272cfd7a1442c11d00b983def15913348d25.roa",AS262934,191.102.248.0/21,32,2016-06-18 08:00:00,2018-06-18 08:00:00
"rsync://repository.lacnic.net/rpki/lacnic/81fc236e-d967-4ccd-b9c5-ed757b14f4d6/53ac272cfd7a1442c11d00b983def15913348d25.roa",AS262934,2803:fa80::/32,32,2016-06-18 08:00:00,2018-06-18 08:00:00
"rsync://repository.lacnic.net/rpki/lacnic/81fc236e-d967-4ccd-b9c5-ed757b14f4d6/9b651c584cfcf91e78892536fd61530e124aceb5.roa",AS262934,191.102.248.0/21,32,2014-06-20 02:54:22,2019-06-20 02:54:22
"rsync://repository.lacnic.net/rpki/lacnic/81fc236e-d967-4ccd-b9c5-ed757b14f4d6/9b651c584cfcf91e78892536fd61530e124aceb5.roa",AS262934,2803:fa80::/32,32,2014-06-20 02:54:22,2019-06-20 02:54:22
"rsync://repository.lacnic.net/rpki/lacnic/5e7f3edb-26fe-482c-ae24-f9987a914f85/04a6a6515cceb3e7e05bdc432445939da7262372.roa",AS28539,201.150.0.0/21,21,2016-02-25 03:00:00,2018-02-25 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/5e7f3edb-26fe-482c-ae24-f9987a914f85/04a6a6515cceb3e7e05bdc432445939da7262372.roa",AS28539,201.150.8.0/22,22,2016-02-25 03:00:00,2018-02-25 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/5e7f3edb-26fe-482c-ae24-f9987a914f85/04a6a6515cceb3e7e05bdc432445939da7262372.roa",AS28539,201.159.96.0/21,21,2016-02-25 03:00:00,2018-02-25 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/5e7f3edb-26fe-482c-ae24-f9987a914f85/04a6a6515cceb3e7e05bdc432445939da7262372.roa",AS28539,201.159.104.0/22,22,2016-02-25 03:00:00,2018-02-25 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/5e7f3edb-26fe-482c-ae24-f9987a914f85/04a6a6515cceb3e7e05bdc432445939da7262372.roa",AS28539,201.159.108.0/22,22,2016-02-25 03:00:00,2018-02-25 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/5e7f3edb-26fe-482c-ae24-f9987a914f85/04a6a6515cceb3e7e05bdc432445939da7262372.roa",AS28539,201.159.124.0/22,22,2016-02-25 03:00:00,2018-02-25 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/5e7f3edb-26fe-482c-ae24-f9987a914f85/04a6a6515cceb3e7e05bdc432445939da7262372.roa",AS28539,2806:211::/32,32,2016-02-25 03:00:00,2018-02-25 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/5e7f3edb-26fe-482c-ae24-f9987a914f85/04a6a6515cceb3e7e05bdc432445939da7262372.roa",AS28539,2806:211::/32,32,2016-02-25 03:00:00,2018-02-25 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/0a5b2892-51cf-4001-8bff-46e5ef3bb07e/1291f8e7a564a5d3185fc745d6b11370f28f9833.roa",AS10986,190.92.128.0/22,22,2015-11-12 02:00:00,2018-01-01 02:00:00
"rsync://repository.lacnic.net/rpki/lacnic/0a5b2892-51cf-4001-8bff-46e5ef3bb07e/1291f8e7a564a5d3185fc745d6b11370f28f9833.roa",AS10986,190.92.132.0/22,22,2015-11-12 02:00:00,2018-01-01 02:00:00
"rsync://repository.lacnic.net/rpki/lacnic/0a5b2892-51cf-4001-8bff-46e5ef3bb07e/1291f8e7a564a5d3185fc745d6b11370f28f9833.roa",AS10986,190.92.216.0/24,24,2015-11-12 02:00:00,2018-01-01 02:00:00
"rsync://repository.lacnic.net/rpki/lacnic/0a5b2892-51cf-4001-8bff-46e5ef3bb07e/1291f8e7a564a5d3185fc745d6b11370f28f9833.roa",AS10986,190.92.218.0/24,24,2015-11-12 02:00:00,2018-01-01 02:00:00
"rsync://repository.lacnic.net/rpki/lacnic/0a5b2892-51cf-4001-8bff-46e5ef3bb07e/1291f8e7a564a5d3185fc745d6b11370f28f9833.roa",AS10986,190.92.219.0/24,24,2015-11-12 02:00:00,2018-01-01 02:00:00
"rsync://repository.lacnic.net/rpki/lacnic/0a5b2892-51cf-4001-8bff-46e5ef3bb07e/1291f8e7a564a5d3185fc745d6b11370f28f9833.roa",AS10986,190.92.220.0/24,24,2015-11-12 02:00:00,2018-01-01 02:00:00
"rsync://repository.lacnic.net/rpki/lacnic/0a5b2892-51cf-4001-8bff-46e5ef3bb07e/1291f8e7a564a5d3185fc745d6b11370f28f9833.roa",AS10986,190.92.221.0/24,24,2015-11-12 02:00:00,2018-01-01 02:00:00
"rsync://repository.lacnic.net/rpki/lacnic/0a5b2892-51cf-4001-8bff-46e5ef3bb07e/1291f8e7a564a5d3185fc745d6b11370f28f9833.roa",AS10986,190.92.240.0/21,21,2015-11-12 02:00:00,2018-01-01 02:00:00
"rsync://repository.lacnic.net/rpki/lacnic/b5910b64-5d06-431e-b322-76f89680aaf7/1b202431c18bd82ed2abfb9a6511769513cc2a37.roa",AS263785,2803:b440::/32,32,2015-09-17 03:00:00,2017-09-17 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/632c257cb16a6b63b1dbb5e04733c5ba9ce77c46.roa",AS11830,181.193.0.0/16,19,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/632c257cb16a6b63b1dbb5e04733c5ba9ce77c46.roa",AS11830,181.194.0.0/15,15,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/632c257cb16a6b63b1dbb5e04733c5ba9ce77c46.roa",AS11830,200.91.64.0/18,24,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/632c257cb16a6b63b1dbb5e04733c5ba9ce77c46.roa",AS11830,200.91.128.0/18,24,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/632c257cb16a6b63b1dbb5e04733c5ba9ce77c46.roa",AS11830,201.191.0.0/16,24,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/632c257cb16a6b63b1dbb5e04733c5ba9ce77c46.roa",AS11830,201.192.0.0/12,24,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/632c257cb16a6b63b1dbb5e04733c5ba9ce77c46.roa",AS11830,201.237.0.0/16,16,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/b6569f69338a1bfbd36083e0cff7e1d90af75c43.roa",AS52470,181.193.19.160/28,28,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/b6569f69338a1bfbd36083e0cff7e1d90af75c43.roa",AS52470,201.194.153.0/27,27,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/b6569f69338a1bfbd36083e0cff7e1d90af75c43.roa",AS52470,201.201.106.240/28,28,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/b6569f69338a1bfbd36083e0cff7e1d90af75c43.roa",AS52470,201.201.219.32/28,28,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/cc557bb53c15dc5718f42dd68c8615a7c001b401.roa",AS11830,2001:1330::/30,64,2014-06-05 03:00:00,2020-06-05 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/cc557bb53c15dc5718f42dd68c8615a7c001b401.roa",AS11830,2001:1334::/30,64,2014-06-05 03:00:00,2020-06-05 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/cc557bb53c15dc5718f42dd68c8615a7c001b401.roa",AS11830,2800:d300::/29,48,2014-06-05 03:00:00,2020-06-05 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/deedf3b5e95599ec8a9d2f18bc44dfc3f8bd03cd.roa",AS16973,201.201.190.0/23,23,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/eb899034-7d80-4d95-8a8e-263365e0da1f/deedf3b5e95599ec8a9d2f18bc44dfc3f8bd03cd.roa",AS16973,201.201.190.0/23,24,2014-05-07 03:00:00,2020-05-07 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/80155b96-96e8-452f-899b-c334d2fc54de/6892736760369e88a8b6ad1e2e41873422c688dd.roa",AS11058,179.0.14.0/24,24,2014-08-19 03:00:00,2016-08-19 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/80155b96-96e8-452f-899b-c334d2fc54de/6892736760369e88a8b6ad1e2e41873422c688dd.roa",AS11058,200.13.42.0/23,24,2014-08-19 03:00:00,2016-08-19 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/80155b96-96e8-452f-899b-c334d2fc54de/6892736760369e88a8b6ad1e2e41873422c688dd.roa",AS11058,2801:0:440::/48,48,2014-08-19 03:00:00,2016-08-19 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/80155b96-96e8-452f-899b-c334d2fc54de/6ddbece4af85a8885ebc00eaf722008cf5a6343c.roa",AS3549,179.0.14.0/24,24,2016-04-25 03:00:00,2018-04-25 03:00:00
