URI,ASN,IP Prefix,Max Length,Not Before,Not After
"rsync://rpki.ripe.net/repository/APNIC/9b/0330fb-95d1-4302-bea1-f54577f7cc0f/1/yX4nV508Vh4kkbkL5mjzAoLqgME.roa",AS196714,171.33.184.0/21,21,2016-01-01 01:11:00,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/APNIC/b2/58af24-c454-44b0-a7ca-c6f1e6ac9ba9/1/r5qRE0excYT6Kccwy2zlRsmGiAE.roa",AS31257,171.33.248.0/21,24,2016-01-01 01:39:18,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/APNIC/a2/2d5bdf-5265-49b8-8afe-2b920bde3990/1/WD-fhbU69_yNIq7uVkciyucuD9E.roa",AS28878,171.33.128.0/21,21,2016-01-01 01:21:06,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/APNIC/e1/d4dbd6-2ff5-455d-8824-658c5117de9b/1/xpxGefgEP9BggYO541WrM_xItaI.roa",AS60404,103.251.164.0/22,22,2016-04-04 17:03:53,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/APNIC/e1/d4dbd6-2ff5-455d-8824-658c5117de9b/1/xpxGefgEP9BggYO541WrM_xItaI.roa",AS60404,150.129.8.0/22,22,2016-04-04 17:03:53,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/APNIC/73/4a1ebd-d44e-4892-85b3-735a0cc1e789/1/_LHtivyDG4Y78aKimJbpi4DHi8w.roa",AS47224,171.25.191.0/24,24,2016-06-30 10:42:08,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/APNIC/b1/90033c-5b03-4709-b6d3-a865e189ed8a/1/nxeDOO5VjtBJONm3mY4nfl1lJ3s.roa",AS2107,153.5.0.0/16,16,2016-01-01 00:48:03,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/APNIC/56/c1ae8d-c2cb-4fe5-9a1c-f28cd2764904/1/Fy1XABVxbQNxtnK2nAViWrE4UYY.roa",AS5408,150.140.128.0/17,17,2016-01-01 00:55:43,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/APNIC/5b/3ebcdb-5ff9-4ff3-b187-df679638aa0e/1/E15mzqBO5lF5RAVSgf0vJbVrLSA.roa",AS198171,171.33.136.0/21,21,2016-01-01 01:32:10,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/APNIC/19/d70282-3688-47c0-8d6f-e6ade5862798/1/0ctBZiBX1k5PHfSSkcN1TFt4BGE.roa",AS57685,171.25.179.0/24,24,2016-01-01 01:31:53,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/APNIC/30/386185-5acc-4fe1-9784-6b4afa40678d/1/DSAUnWcngXMFmtPSaEkd_q6ZWlk.roa",AS57707,171.25.222.0/24,24,2016-02-13 01:36:04,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/APNIC/30/386185-5acc-4fe1-9784-6b4afa40678d/1/DSAUnWcngXMFmtPSaEkd_q6ZWlk.roa",AS57707,171.25.220.0/23,23,2016-02-13 01:36:04,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/APNIC/e2/03f256-7401-4af4-97d0-ead1af8691ba/1/zN_RDw3IuRs-b_TrYgqnRJHK9rE.roa",AS6744,150.140.0.0/17,17,2016-01-26 15:59:28,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/18/eb301d-ab50-4c3e-8c78-9df37109c81d/1/83ZlGcE6bJIw_49LZ_q1H0J9qW0.roa",AS12817,194.145.150.0/23,23,2016-01-01 00:32:36,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/25/87ce56-9aac-4c42-8c7f-ab03481b0253/1/qwz5K2ME9vVRJwBQBF2EhVbYr_A.roa",AS201675,185.67.147.0/24,24,2016-01-01 01:28:49,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/4fYEnXBhxiTAKG_oeBTqQ8fbRs4.roa",AS3301,193.241.253.0/24,24,2016-01-01 01:26:03,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/4fYEnXBhxiTAKG_oeBTqQ8fbRs4.roa",AS3301,193.241.252.0/24,24,2016-01-01 01:26:03,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/4fYEnXBhxiTAKG_oeBTqQ8fbRs4.roa",AS3301,193.241.212.0/24,24,2016-01-01 01:26:03,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/4fYEnXBhxiTAKG_oeBTqQ8fbRs4.roa",AS3301,193.241.244.0/23,23,2016-01-01 01:26:03,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/H6i2J2pZTyMbzyKhk0OTNEzZF1s.roa",AS2119,193.241.241.0/24,24,2016-01-01 01:26:03,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/WB8nBXVuXb8uNpeGjvy_UAiCMLQ.roa",AS1257,193.241.250.0/24,24,2016-01-01 01:26:02,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/_QB55tXotz7ofXREUQer75JT1as.roa",AS9201,193.241.192.0/18,18,2016-01-01 01:26:04,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/_QB55tXotz7ofXREUQer75JT1as.roa",AS9201,193.241.128.0/18,18,2016-01-01 01:26:04,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/_QB55tXotz7ofXREUQer75JT1as.roa",AS9201,193.241.0.0/16,24,2016-01-01 01:26:04,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/_QB55tXotz7ofXREUQer75JT1as.roa",AS9201,193.241.64.0/18,18,2016-01-01 01:26:04,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/_QB55tXotz7ofXREUQer75JT1as.roa",AS9201,193.241.32.0/19,19,2016-01-01 01:26:04,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/_QB55tXotz7ofXREUQer75JT1as.roa",AS9201,2001:67c:2c70::/48,48,2016-01-01 01:26:04,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/_QB55tXotz7ofXREUQer75JT1as.roa",AS9201,2001:67c:2c74::/48,48,2016-01-01 01:26:04,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/91/dcc86a-5f51-4d12-963d-f27c628b8353/1/_QB55tXotz7ofXREUQer75JT1as.roa",AS9201,2001:67c:2c78::/48,48,2016-01-01 01:26:04,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/15/5a6d01-a375-4e11-871e-99e6141de7f1/1/PbQJ_E9BBrRr56BVXHMKd9dCIjc.roa",AS34984,185.70.84.0/22,22,2016-01-01 01:38:06,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/fe/70f8bb-9a37-4f3e-a581-3ea8194fb446/1/TI0Ce663xOQLyq7uJQAXFqpMtGE.roa",AS50989,46.22.112.0/20,20,2016-01-01 00:31:46,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/fe/70f8bb-9a37-4f3e-a581-3ea8194fb446/1/TI0Ce663xOQLyq7uJQAXFqpMtGE.roa",AS50989,46.22.126.128/25,25,2016-01-01 00:31:46,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/fe/70f8bb-9a37-4f3e-a581-3ea8194fb446/1/TI0Ce663xOQLyq7uJQAXFqpMtGE.roa",AS50989,2a02:2a48::/32,32,2016-01-01 00:31:46,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/fe/70f8bb-9a37-4f3e-a581-3ea8194fb446/1/Xy-1DpV4W_tDbAxOanrwpsI1ubw.roa",AS197430,46.22.112.0/20,20,2016-01-01 00:31:46,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/fe/70f8bb-9a37-4f3e-a581-3ea8194fb446/1/Xy-1DpV4W_tDbAxOanrwpsI1ubw.roa",AS197430,2a02:2a48::/32,32,2016-01-01 00:31:46,2017-07-01 00:00:00
"rsync://rpki.ripe.net/repository/RIPE/5c/ddc66f-7f90-462f-b74d-fc3272b83c78/1/DxqLtz16giJbmxORRcWTMGcSqok.roa",AS48173,5.179.224.0/21,24,2016-01-01 01:28:39,2017-07-01 00:00:00
