URI,ASN,IP Prefix,Max Length,Not Before,Not After
"rsync://rpki.afrinic.net/repository/member_repository/F36AF9EE/90DED0CC0DCC11E59C25B724F8AEA228/0019F8C037AE11E69F172A2CF8AEA228.roa",AS60781,41.191.215.0/24,24,2016-06-21 12:45:09,2017-06-21 12:45:09
"rsync://rpki.afrinic.net/repository/member_repository/F36AF9EE/90DED0CC0DCC11E59C25B724F8AEA228/0019F8C037AE11E69F172A2CF8AEA228.roa",AS60781,2c0f:f9b8:d::/48,48,2016-06-21 12:45:09,2017-06-21 12:45:09
"rsync://rpki.afrinic.net/repository/member_repository/F36AF9EE/90DED0CC0DCC11E59C25B724F8AEA228/CCD0C05237AD11E6B0A2082CF8AEA228.roa",AS37674,41.191.212.0/22,24,2016-06-21 12:43:44,2017-06-21 12:43:44
"rsync://rpki.afrinic.net/repository/member_repository/F36AF9EE/90DED0CC0DCC11E59C25B724F8AEA228/CCD0C05237AD11E6B0A2082CF8AEA228.roa",AS37674,41.242.144.0/21,24,2016-06-21 12:43:44,2017-06-21 12:43:44
"rsync://rpki.afrinic.net/repository/member_repository/F36AF9EE/90DED0CC0DCC11E59C25B724F8AEA228/CCD0C05237AD11E6B0A2082CF8AEA228.roa",AS37674,196.50.2.0/24,24,2016-06-21 12:43:44,2017-06-21 12:43:44
"rsync://rpki.afrinic.net/repository/member_repository/F36AF9EE/90DED0CC0DCC11E59C25B724F8AEA228/CCD0C05237AD11E6B0A2082CF8AEA228.roa",AS37674,2c0f:f9b8::/32,48,2016-06-21 12:43:44,2017-06-21 12:43:44
"rsync://rpki.afrinic.net/repository/member_repository/F36F62C3/49DEC774556911E5A9048281F8AEA228/859706A096AA11E5AE549B4EF8AEA228.roa",AS6083,2001:42a0::/32,48,2015-11-29 15:05:40,2016-11-29 15:05:40
"rsync://rpki.afrinic.net/repository/member_repository/F36F62C3/49DEC774556911E5A9048281F8AEA228/A271671A96A611E5B2EA1D49F8AEA228.roa",AS6083,2001:42a0:7000::/36,48,2015-11-29 14:37:45,2016-11-29 14:37:45
"rsync://rpki.afrinic.net/repository/member_repository/F36D8DFA/0E9B19BA140A11E5A7F5FC4CF8AEA228/082A86B4140B11E5B1C0604DF8AEA228.roa",AS37271,197.157.64.0/19,19,2015-06-16 09:35:26,2025-06-16 09:35:26
"rsync://rpki.afrinic.net/repository/member_repository/F36D8DFA/0E9B19BA140A11E5A7F5FC4CF8AEA228/2BEA28CA140B11E5A64E754DF8AEA228.roa",AS37271,41.78.188.0/22,22,2015-06-16 09:36:26,2025-06-16 09:36:26
"rsync://rpki.afrinic.net/repository/member_repository/F36D8DFA/0E9B19BA140A11E5A7F5FC4CF8AEA228/4FB77596140B11E5A2B38D4DF8AEA228.roa",AS37271,2c0f:fa90::/32,32,2015-06-16 09:37:26,2025-06-16 09:37:26
"rsync://rpki.afrinic.net/repository/member_repository/F36D8DFA/0E9B19BA140A11E5A7F5FC4CF8AEA228/8A1CC04C140B11E58809AA4DF8AEA228.roa",AS37271,2c0f:fa90:f00::/40,40,2015-06-16 09:39:04,2025-06-16 09:39:04
"rsync://rpki.afrinic.net/repository/member_repository/F365C741/BE173EB406BD11E588824D08F8AEA228/51193AEC23D711E5AFB1712AF8AEA228.roa",AS37100,41.206.96.0/19,24,2015-07-06 12:05:24,2025-12-31 12:05:24
"rsync://rpki.afrinic.net/repository/member_repository/F365C741/BE173EB406BD11E588824D08F8AEA228/86AA770223D711E5AB708E2AF8AEA228.roa",AS37100,41.87.96.0/19,24,2015-07-06 12:07:00,2025-12-31 12:07:00
"rsync://rpki.afrinic.net/repository/member_repository/F365C741/BE173EB406BD11E588824D08F8AEA228/ABD3CC5E23D711E594D1A12AF8AEA228.roa",AS37100,105.16.0.0/12,24,2015-07-06 12:08:03,2025-12-31 12:08:03
"rsync://rpki.afrinic.net/repository/member_repository/F365C741/BE173EB406BD11E588824D08F8AEA228/CDA8B9DE23D711E5BADABA2AF8AEA228.roa",AS37100,41.217.212.0/22,24,2015-07-06 12:09:00,2025-12-31 12:09:00
"rsync://rpki.afrinic.net/repository/member_repository/F365C741/BE173EB406BD11E588824D08F8AEA228/DD86921023DF11E59A291F2EF8AEA228.roa",AS37100,2c0f:feb1::/32,48,2015-07-06 13:06:43,2025-12-31 13:06:43
"rsync://rpki.afrinic.net/repository/member_repository/F365C741/BE173EB406BD11E588824D08F8AEA228/F803FE7823D711E5AC3CCD2AF8AEA228.roa",AS37100,2c0f:feb0::/32,48,2015-07-06 12:10:11,2025-12-31 12:10:11
"rsync://rpki.afrinic.net/repository/member_repository/F36ABB63/E08FB58213F311E5A8E5AE44F8AEA228/D27247BA252F11E5B36C1231F8AEA228.roa",AS37519,154.70.136.0/21,32,2015-07-08 05:11:34,2020-07-08 05:11:34
"rsync://rpki.afrinic.net/repository/member_repository/F36ABB63/E08FB58213F311E5A8E5AE44F8AEA228/D27247BA252F11E5B36C1231F8AEA228.roa",AS37519,2c0f:f668::/32,128,2015-07-08 05:11:34,2020-07-08 05:11:34
"rsync://rpki.afrinic.net/repository/member_repository/F3646DCF/DA9D1FCE773611E59B2FF40DF8AEA228/6199DF3A773711E59D983C0EF8AEA228.roa",AS327917,196.13.108.0/24,24,2015-10-20 14:33:01,2017-10-20 14:33:01
"rsync://rpki.afrinic.net/repository/member_repository/F3646DCF/DA9D1FCE773611E59B2FF40DF8AEA228/97EFF9FE41C911E6974C3715F8AEA228.roa",AS327917,2001:43f8:b30::/48,64,2016-07-04 09:27:52,2026-07-31 09:27:52
"rsync://rpki.afrinic.net/repository/member_repository/F362CFE4/54579C4A78A911E59A7A2927F8AEA228/09D9154C82C511E587AF1508F8AEA228.roa",AS3741,196.23.0.0/16,16,2015-11-04 07:24:52,2016-08-02 07:24:52
"rsync://rpki.afrinic.net/repository/member_repository/F362CFE4/54579C4A78A911E59A7A2927F8AEA228/0F971FF082C611E5B001E009F8AEA228.roa",AS3741,196.36.0.0/16,16,2015-11-04 07:32:11,2016-08-02 07:32:11
"rsync://rpki.afrinic.net/repository/member_repository/F362CFE4/54579C4A78A911E59A7A2927F8AEA228/172D3B3A82C811E59F325B0DF8AEA228.roa",AS3741,197.96.0.0/13,13,2015-11-04 07:46:43,2016-08-02 07:46:43
"rsync://rpki.afrinic.net/repository/member_repository/F362CFE4/54579C4A78A911E59A7A2927F8AEA228/3151114882C911E5A748290FF8AEA228.roa",AS3741,196.4.160.0/24,24,2015-11-04 07:54:36,2016-08-13 07:54:36
"rsync://rpki.afrinic.net/repository/member_repository/F362CFE4/54579C4A78A911E59A7A2927F8AEA228/43C1824482C511E583003308F8AEA228.roa",AS3741,196.26.0.0/16,16,2015-11-04 07:26:29,2016-08-02 07:26:29
